CASEID,adp_010,cip_10,mshsd,msper,msvic,agegr10,luc_rst,prv,region,sex,discrim,dis_10,dis_15,dis_20,dis_25,dis_30,dis_35,dis_40,dis_45,dis_50,dis_55,dis_rind,dis_pl,dts_20,dts_25,dts_30,dts_35,dts_60,dts_65,eduf10,eduf5,edum10,edum5,edupr10,edupr5,eor_01a,eor_01b,eor_01c,eor_02,pcc_145,pcc_160,plp_110,plp_120,plp_130,plp_140,plp_150,plp_160,tip_10,tip_15,tip_20,tip_25,totvic
30867,2,3,995,995,995,5,1,"59",5,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2, 8,4, 1,1,96,6,6,6,6,6,7,2,2,7,2,3,2,3,5,3, 3,1,1
30868,6,1,406,995,406,4,1,"24",2,2,1,2,2,2,2,2,2,2,2,1,2,1,1,2,1,2,2,2,2, 1,1, 8,4, 2,1,6,6,6,6,1,2,1,1,1,1,1,1,5,2, 6,3,2
30869,2,2,994,994,994,1,1,"46",4,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 9,5, 3,2,96,6,6,6,6,6,2,2,3,2,1,2,2,2,5,3, 4,2,0
30870,2,1,994,304,304,5,1,"12",1,2,1,1,2,2,1,2,2,1,2,2,2,2,1,2,1,2,2,2,2, 8,4, 8,4,96,6,6,6,6,6,2,2,1,1,1,7,1,2,3,3, 6,2,2
30871,3,1,994,994,994,7,1,"35",3,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 2,1, 2,1,96,6,6,6,6,6,1,2,1,7,7,7,7,7,5,5, 6,1,0
30872,2,1,994,994,994,5,1,"47",4,2,1,2,2,2,1,2,2,2,2,2,2,1,7,2,2,2,2,2,7, 9,5, 2,1,96,6,6,6,6,6,2,2,1,1,1,2,2,2,5,3, 3,2,0
30873,6,1,994,994,994,5,3,"11",1,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6,10,5,10,5, 4,2,6,6,6,6,2,2,1,2,1,1,1,1,5,4, 3,4,0
30874,3,1,994,994,994,6,3,"11",1,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 2,1, 9,5,96,6,6,6,6,6,1,2,1,2,2,2,2,1,5,5, 6,1,0
30875,2,1,994,994,994,7,1,"24",2,1,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 8,4, 8,4,96,6,6,6,6,6,2,2,1,1,7,2,1,1,5,4, 6,3,0
30876,6,1,994,994,994,2,1,"48",4,2,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6, 4,2, 8,4, 8,4,6,6,6,6,2,2,1,1,1,1,1,1,5,3, 5,2,0
