CASEID,cip_10,agegr10,luc_rst,prv,region,sex,pcc_145,pcc_160,plp_110,plp_120,plp_130,plp_140,plp_150,plp_160,tip_10,tip_15,tip_20,tip_25
17928,1,4,1,"13",1,2,2,2,1,2,1,1,1,1,5,4, 5,4
17929,1,1,1,"48",4,1,2,2,1,2,1,1,2,2,5,2, 3,1
17930,3,6,2,"13",1,1,2,2,3,2,3,3,2,2,3,1, 6,3
17931,1,6,1,"35",3,1,2,2,1,1,1,7,1,1,5,4, 5,7
17932,1,6,3,"11",1,2,2,2,1,1,1,1,1,1,5,3, 4,3
17933,2,5,1,"35",3,1,2,2,1,1,1,1,1,1,5,3, 6,3
17934,1,2,1,"12",1,2,1,2,1,1,2,2,1,1,5,3, 3,1
17935,3,5,2,"47",4,2,4,2,2,2,1,1,2,3,5,3, 6,1
17936,2,5,2,"10",1,1,2,2,2,2,2,2,2,2,5,4, 6,1
17937,1,4,1,"24",2,1,7,2,1,7,7,1,1,7,5,5, 5,5
17938,2,6,1,"24",2,1,7,1,1,1,1,7,1,1,5,3, 6,7
17939,2,4,1,"12",1,1,2,2,2,1,1,7,1,1,5,3, 4,2
17940,1,2,1,"12",1,1,1,1,1,1,1,1,1,1,5,4, 5,1
17941,1,4,1,"35",3,2,3,2,1,1,1,1,1,1,5,1, 5,1
17942,1,7,1,"46",4,2,2,2,1,1,1,1,7,1,5,1, 6,1
17943,2,7,1,"24",2,2,2,2,1,1,1,1,1,1,5,3, 6,3
17944,1,5,3,"11",1,1,2,2,2,7,7,2,2,1,5,4, 4,3
17945,3,5,2,"24",2,1,4,1,3,3,3,2,2,2,5,1, 6,1
17946,2,3,2,"48",4,2,2,2,2,7,7,3,2,7,5,5, 5,3
17947,2,4,1,"12",1,2,2,1,1,1,2,7,7,2,5,5, 6,1
17948,1,5,2,"10",1,2,2,2,1,1,1,1,1,1,5,5, 5,2
17949,2,5,1,"24",2,2,2,2,1,1,1,1,1,7,5,4, 6,2
17950,1,5,1,"12",1,2,2,2,1,1,1,1,1,1,5,5, 6,3
17951,1,5,1,"13",1,2,1,2,1,1,2,1,1,1,5,5, 5,2
17952,1,6,1,"12",1,2,3,1,1,1,1,1,1,1,5,5, 6,4
17953,2,4,1,"24",2,2,3,2,1,1,2,2,1,1,4,2, 3,1
17954,1,4,2,"48",4,2,1,2,1,1,1,1,1,1,8,7, 5,8
17955,2,7,2,"24",2,1,3,2,2,2,2,2,2,2,5,5, 6,3
17956,2,4,2,"10",1,2,2,1,1,1,2,1,1,1,5,3, 6,1
17957,2,2,1,"35",3,2,2,2,2,2,2,3,2,3,4,2, 3,2
17958,1,5,1,"59",5,1,2,2,1,2,1,1,1,2,5,4, 5,3
17959,1,7,1,"12",1,2,7,2,1,1,1,2,1,7,4,5, 6,1
17960,2,4,1,"24",2,1,2,2,2,7,2,2,2,7,5,4, 5,2
17961,2,4,1,"24",2,1,3,1,2,7,7,2,1,2,5,3, 5,3
17962,2,4,1,"59",5,2,2,2,2,2,1,2,3,3,7,3, 3,1
17963,1,7,1,"59",5,1,4,1,1,1,7,7,1,1,5,5, 6,2
17964,2,1,1,"48",4,2,2,2,1,1,1,2,2,3,5,3, 1,2
17965,2,3,1,"35",3,1,2,1,2,2,2,2,2,2,5,3, 3,2
17966,1,6,1,"35",3,2,2,1,1,1,1,1,1,1,7,5, 6,1
17967,1,6,2,"46",4,2,3,2,1,1,1,1,1,1,5,5, 5,3
17968,1,7,2,"47",4,1,4,2,1,1,1,1,1,1,5,5, 6,3
17969,3,1,1,"35",3,1,7,2,2,2,1,2,1,1,1,3, 3,4
17970,2,5,1,"24",2,1,2,2,1,1,2,7,1,2,5,4, 6,3
17971,2,6,1,"12",1,1,3,2,1,1,1,1,1,1,5,3, 3,1
17972,2,1,1,"10",1,1,3,2,2,2,2,1,2,1,5,4, 4,3
17973,1,5,1,"47",4,1,2,2,1,2,1,1,1,2,5,5, 5,3
17974,1,5,1,"35",3,2,3,2,1,1,1,1,1,1,5,4, 6,1
17975,2,2,1,"24",2,2,2,2,1,1,1,1,1,2,5,4, 4,2
17976,2,2,1,"35",3,1,1,2,1,2,1,1,1,1,3,2, 2,1
17977,1,5,3,"11",1,1,2,2,1,1,1,1,1,1,5,5, 5,2
17978,2,5,1,"12",1,1,3,1,2,2,1,2,2,2,5,3, 6,2
17979,1,1,1,"48",4,1,1,2,1,1,1,1,1,1,5,3, 4,2
17980,3,5,1,"24",2,2,2,1,7,7,3,7,7,7,5,2, 3,3
17981,2,2,1,"24",2,1,3,2,1,1,1,1,1,1,5,4, 4,2
17982,1,4,1,"10",1,1,2,2,1,1,1,1,1,1,5,4, 4,3
17983,2,2,1,"12",1,1,2,1,1,1,2,2,1,2,5,2, 3,1
17984,1,5,1,"48",4,2,1,2,1,1,1,3,1,1,5,4, 4,3
17985,2,6,1,"35",3,2,2,1,1,7,1,1,1,1,5,3, 6,3
17986,1,7,2,"47",4,2,7,2,1,1,1,1,1,1,5,5, 5,3
17987,1,5,1,"12",1,2,1,1,1,1,1,1,1,1,5,5, 6,4
17988,7,7,2,"10",1,2,7,2,1,1,7,7,1,1,5,5, 6,7
17989,1,5,1,"46",4,2,3,2,2,2,1,1,2,2,4,3, 6,2
