CASEID,discrim,dis_10,dis_15,dis_20,dis_25,dis_30,dis_35,dis_40,dis_45,dis_50,dis_55,dis_rind,dis_pl,dts_20,dts_25,dts_30,dts_35,dts_60,dts_65
  122,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  123,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  124,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  125,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  126,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  127,1,2,1,1,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2
  128,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  129,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  130,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  131,1,1,1,1,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2
  132,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  133,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  134,1,2,2,2,2,2,2,1,2,2,2,1,1,2,1,2,2,2,2
  135,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  136,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  137,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  138,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  139,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  140,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  141,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  142,1,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1
  143,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
  144,2,2,2,2,2,2,2,2,2,2,2,0,6,6,6,6,6,6,6
